event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2012-05-05,Dennis Bermudez,Pablo Garza,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.268817,,,0.165017
2012-05-05,Nate Diaz,Jim Miller,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.06993,0.173913,0.244499,0.136612,0.17094,0.425532
2012-05-05,Josh Koscheck,Johny Hendricks,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.148148,0.072727,0.294118,0.273973,0.058309,0.333333
2012-05-05,Rousimar Palhares,Alan Belcher,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.07722,0.487805,0.235294,0.178571,0.096154,0.130719
2012-05-05,Pat Barry,Lavar Johnson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.454545,0.142857,0.125786,0.37037,0.055556,0.060606
2012-05-05,Danny Castillo,John Cholish,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.286533,,,0.384615
2012-05-05,John Dodson,Tim Elliott,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.283286,,,0.11919
2012-05-05,John Hathaway,Pascal Krauss,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.497512,,,0.223714
2012-05-05,Louis Gaudinot,John Lineker,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.173913,,,0.220264
2012-05-05,Tony Ferguson,Michael Johnson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.3125,0.37037,0.055556,0.060606
2012-05-15,Jason MacDonald,Tom Lawlor,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,,0.344828,0.231481,0.224215
2012-05-15,Igor Pokrajac,Fabio Maldonado,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.181818,0.142857,0.209205,0.4,0.057471,0.195695
2012-05-15,Yves Jabouin,Jeff Hougland,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.416667,0.068166,0.294118,0.064309,0.222222,0.150376
2012-05-15,Donald Cerrone,Jeremy Stephens,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.137552,0.238095,0.444444,0.121212,0.07722,0.206186
2012-05-15,Amir Sadollah,Jorge Lopez,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.085837,0.183486,0.384615,0.173913,0.04717,0.308642
2012-05-15,Chan Sung Jung,Dustin Poirier,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.16,0.088496,0.095238,0.4,0.25,0.221729
2012-05-26,Junior Dos Santos,Frank Mir,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.791667,0.028169,0.073529,0.03663,0.142857,0.102669
2012-05-26,Cain Velasquez,Antonio Silva,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.62963,0.047619,0.185874,0.168067,0.059524,0.08
2012-05-26,Roy Nelson,Dave Herman,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.37037,0.160772,0.210526,0.173913,0.084388,0.2
2012-05-26,Stipe Miocic,Shane del Rosario,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.357143,0.081301,0.274725,0.224719,0.136799,0.133333
2012-05-26,Stefan Struve,Lavar Johnson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.126743,0.487805,0.055556,0.425532,0.036697,0.038462
2012-05-26,Diego Brandao,Darren Elkins,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.116959,,,0.25
2012-05-26,Edson Barboza,Jamie Varner,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.47619,,,0.142857
2012-05-26,Jason Miller,CB Dollaway,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.151515,,,0.25
2012-05-26,Dan Hardy,Duane Ludwig,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.263158,,,0.266667
2012-06-01,Justin Lawrence,John Cofer,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.247525,,,0.153846
2012-06-01,Max Holloway,Pat Schilling,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.247525,,,0.105263
2012-06-01,Jonathan Brookins,Charles Oliveira,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.263158,,,0.323625
2012-06-01,Michael Chiesa,Al Iaquinta,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.157729,,,0.310559
2012-06-01,Jake Ellenberger,Martin Kampmann,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.444444,0.072464,0.206612,0.090498,0.263158,0.141844
2012-06-08,Demetrious Johnson,Ian McCall,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.10101,0.085106,0.454545,0.111111,0.082305,0.347222
2012-06-08,Mike Pyle,Josh Neer,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.100604,0.25,0.416667,0.227273,0.118343,0.120192
2012-06-08,Eddie Wineland,Scott Jorgensen,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.148148,0.076923,0.240964,0.124069,0.215054,0.393701
2012-06-08,Mike Pierce,Carlos Eduardo Rocha,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.545455,,,0.181818
2012-06-08,Erick Silva,Charlie Brenneman,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.384615,0.125,0.225225,0.088496,0.072202,0.285714
2012-06-08,Leonard Garcia,Matt Grice,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.2331,,,0.333333
2012-06-08,Dustin Pague,Jared Papazian,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.222222,,,0.357143
2012-06-08,Tim Means,Justin Salas,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.373134,,,0.343643
2012-06-08,Buddy Roberts,Caio Magalhaes,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.25,,,0.176991
2012-06-08,Henry Martinez,Bernardo Magalhaes,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,,,,0.176991
2012-06-08,Seth Baczynski,Lance Benoist,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.15748,,,0.263158
2012-06-22,Gray Maynard,Clay Guida,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.3125,0.083682,0.363636,0.083682,0.222222,0.115075
2012-06-22,Sam Stout,Spencer Fisher,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.212766,0.127551,0.509804,0.063052,0.072993,0.201207
2012-06-22,Brian Ebersole,TJ Waldburger,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.292398,,,0.137931
2012-06-22,Ross Pearson,Cub Swanson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.545455,,,0.250627
2012-06-22,Rick Story,Brock Jardine,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.406504,,,0.169779
2012-06-22,Ramsey Nijem,CJ Keith,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.276243,,,0.173913
2012-06-22,Steven Siler,Joey Gambino,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.3125,,,0.371747
2012-06-22,Nick Catone,Chris Camozzi,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.512195,,,0.217865
2012-06-22,Matt Brown,Luis Ramos,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.234742,,,0.222222
2012-06-22,Hatsu Hioki,Ricardo Lamas,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.389105,,,0.215054
2012-06-23,Cezar Ferreira,Sergio Moraes,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.26178,,,0.16
2012-06-23,Wanderlei Silva,Rich Franklin,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.37037,0.08,0.117647,0.454545,0.033333,0.160514
2012-06-23,Iuri Alcantara,Hacran Dias,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.367647,,,0.276243
2012-06-23,Fabricio Werdum,Mike Russow,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.330033,,,0.166667
2012-07-07,Anderson Silva,Chael Sonnen,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.547511,0.180832,0.122549,0.111111,0.046189,0.190476
2012-07-07,Cung Le,Patrick Cote,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.25641,0.038462,0.122549,0.454545,0.125156,0.190476
2012-07-07,Dong Hyun Kim,Demian Maia,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.149254,0.072727,0.454545,0.065317,0.217391,0.25641
2012-07-07,Chad Mendes,Cody McKenzie,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.414938,0.2,0.3125,0.038462,0.136612,0.04878
2012-07-07,Forrest Griffin,Tito Ortiz,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.222222,0.057471,0.5,0.125,0.064185,0.192308
2012-07-07,Melvin Guillard,Fabricio Camoes,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.19084,,,
2012-07-07,Gleison Tibau,Khabib Nurmagomedov,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.454545,,,0.263158
2012-07-07,Costas Philippou,Riki Fukuda,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.384615,,,0.294118
2012-07-07,John Alessio,Shane Roller,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.276243,,,0.44843
2012-07-07,Ivan Menjivar,Mike Easton,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.162602,0.174216,0.289855,0.117647,0.086957,0.363636
2012-07-11,Rafael Dos Anjos,Anthony Njokuani,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.2079,,,0.25
2012-07-11,TJ Dillashaw,Vaughan Lee,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.454545,,,0.109409
2012-07-11,Karlos Vemola,Francis Carmont,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.106724,,,0.276243
2012-07-11,Aaron Simpson,Kenny Robertson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.359712,,,0.163132
2012-07-11,James Te Huna,Joey Beltran,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.239234,,,0.164204
2012-07-11,Mark Munoz,Chris Weidman,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.236967,,,0.320513
2012-07-21,Hector Lombard,Tim Boetsch,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.555556,0.090498,0.197239,0.142857,0.06079,0.151515
2012-07-21,Urijah Faber,Renan Barao,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.100705,0.181818,0.233645,0.175747,0.212766,0.287356
2012-07-21,Cheick Kongo,Shawn Jordan,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.327869,0.0625,0.200401,0.37037,0.086957,0.138889
2012-07-21,Brian Ebersole,James Head,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.273973,0.207469,0.37037,0.135135,0.071685,0.139665
2012-08-04,John Moraga,Ulysses Gomez,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.285714,,,0.364964
2012-08-04,Manvel Gamburyan,Michihiro Omigawa,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.398406,,,0.353357
2012-08-04,Philip De Fries,Oli Thompson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.222222,,,0.095238
2012-08-04,Josh Grispi,Rani Yahya,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.209205,,,0.204082
2012-08-04,Cole Miller,Nam Phan,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.398406,,,0.277008
2012-08-04,Mike Swick,DaMarques Johnson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.283286,0.222222,0.211864,0.188679,0.111111,0.164474
2012-08-04,Joe Lauzon,Jamie Varner,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.084034,0.384615,0.127226,0.277778,0.118064,0.263158
2012-08-04,Lyoto Machida,Ryan Bader,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.357143,0.081103,0.408163,0.085106,0.034783,0.21978
2012-08-04,Mauricio Rua,Brandon Vera,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.677419,0.111111,0.17331,0.152672,0.05814,0.086957
2012-08-11,Benson Henderson,Frankie Edgar,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.166667,0.135685,0.416667,0.105263,0.053191,0.253165
2012-08-11,Donald Cerrone,Melvin Guillard,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.166667,0.5,0.236407,0.186916,0.021739,0.111111
2012-08-11,Yushin Okami,Buddy Roberts,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.392157,0.142857,0.392157,0.117647,0.076046,0.052632
2012-08-11,Justin Lawrence,Max Holloway,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.121212,0.071276,0.266667,0.277778,0.105263,0.350877
2012-08-11,Jared Hamman,Michael Kuiper,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.285714,,,0.274725
2012-08-11,Ken Stone,Erik Perez,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.238095,,,0.27027
2012-08-11,Dustin Pague,Chico Camus,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.241546,,,0.285714
2012-08-11,Nik Lentz,Eiji Mitsuoka,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.607843,,,0.178571
2012-08-11,Dennis Bermudez,Tommy Hayden,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.4,,,0.147493
2012-09-22,Jimy Hettes,Marcus Brimage,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.169492,,,0.125
2012-09-22,Sean Pierson,Lance Benoist,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.266667,,,0.3663
2012-09-22,TJ Grant,Evan Dunham,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.310559,,,0.377358
2012-09-22,Igor Pokrajac,Vinny Magalhaes,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.196078,,,0.235294
2012-09-22,Cub Swanson,Charles Oliveira,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.190476,0.070671,0.142857,0.088106,0.454545,0.23753
2012-09-22,Matt Hamill,Roger Hollett,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.408163,0.13986,0.311526,0.117647,0.07326,0.142857
2012-09-22,Michael Bisping,Brian Stann,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.181818,0.128866,0.431034,0.277778,0.062305,0.119048
2012-09-22,Joseph Benavidez,Demetrious Johnson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.122699,0.190476,0.438596,0.085106,0.068027,0.235294
2012-09-22,Jon Jones,Vitor Belfort,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.543379,0.297619,0.149477,0.111111,0.028777,0.076923
2012-09-29,Stefan Struve,Stipe Miocic,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.137363,0.253165,0.090498,0.574468,0.036036,0.081766
2012-09-29,Brad Pickett,Yves Jabouin,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.34965,,,0.27933
2012-09-29,Dan Hardy,Amir Sadollah,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.318471,,,0.263158
2012-09-29,John Hathaway,John Maguire,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.490196,,,0.229885
2012-09-29,Che Mills,Duane Ludwig,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.120048,,,0.202429
2012-09-29,Paul Sass,Matt Wiman,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.132979,,,0.240964
2012-10-05,Darren Uyenoyama,Phil Harris,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.384615,,,0.181818
2012-10-05,Bart Palaszewski,Diego Nunes,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.207469,,,0.49505
2012-10-05,Jacob Volkmann,Shane Roller,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.52381,,,0.192308
2012-10-05,Michael Johnson,Danny Castillo,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.384615,,,0.30303
2012-10-05,Josh Neer,Justin Edwards,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.21645,,,0.166667
2012-10-05,John Dodson,Jussier Formiga,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.444444,,,
2012-10-05,Jake Ellenberger,Jay Hieron,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.5,0.082169,0.324675,0.074627,0.062305,0.190114
2012-10-05,Travis Browne,Antonio Silva,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.62963,0.054054,0.068587,0.181818,0.15456,0.144509
2012-10-13,Anderson Silva,Stephan Bonnar,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.642857,0.062112,0.30581,0.060606,0.039293,0.070822
2012-10-13,Minotauro Nogueira,Dave Herman,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.377358,0.285714,0.174825,0.238095,0.068074,0.096154
2012-10-13,Glover Teixeira,Fabio Maldonado,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.294118,0.4,0.207039,0.117647,0.072202,0.114286
2012-10-13,Phil Davis,Wagner Prado,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.15949,0.37037,0.322581,0.181818,0.07326,0.082169
2012-10-13,Jon Fitch,Erick Silva,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.086957,0.0625,0.322581,0.642857,0.062112,0.30581
2012-10-13,Rony Jason,Sam Sicilia,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,,,,0.129032
2012-10-13,Gleison Tibau,Francisco Trinaldo,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.241546,,,0.240964
2012-10-13,Diego Brandao,Joey Gambino,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.160256,,,0.173913
2012-10-13,Sergio Moraes,Renee Forte,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.19802,,,0.114286
2012-10-13,Demian Maia,Rick Story,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.063291,0.285714,0.284091,0.153846,0.043478,0.34965
2012-11-10,Takanori Gomi,Mac Danzig,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.15873,,,0.238095
2012-11-10,Dong Hyun Kim,Paulo Thiago,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.583333,,,0.17094
2012-11-10,Rich Franklin,Cung Le,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.622642,0.153846,0.146843,0.186916,0.048193,0.065359
2012-11-17,Georges St-Pierre,Carlos Condit,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.16,0.210526,0.465116,0.178571,0.1001,0.080515
2012-11-17,Johny Hendricks,Martin Kampmann,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.263158,0.073368,0.334448,0.112994,0.167504,0.236967
2012-11-17,Francis Carmont,Tom Lawlor,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.222717,0.333333,0.274725,0.153846,0.082645,0.16
2012-11-17,Cyrille Diabate,Chad Griggs,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.222222,,,0.2
2012-11-17,Mark Hominick,Pablo Garza,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.384615,0.2,0.233645,0.166667,0.1,0.153846
2012-11-17,Patrick Cote,Alessio Sakara,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.175131,,,0.133333
2012-11-17,Sam Stout,John Makdessi,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.425532,,,0.277778
2012-11-17,Mark Bocek,Rafael Dos Anjos,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.091743,0.114286,0.222222,,,
2012-12-08,Mauricio Rua,Alexander Gustafsson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.148148,0.043478,0.179533,0.289855,0.088889,0.444444
2012-12-08,BJ Penn,Rory MacDonald,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.142045,0.09901,0.143678,,,
2012-12-08,Benson Henderson,Nate Diaz,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.181818,0.08569,0.512195,0.079681,0.19802,0.14881
2012-12-08,Mike Swick,Matt Brown,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.13624,0.338983,0.215054,0.206186,0.146413,0.171527
2012-12-08,Ramsey Nijem,Joe Proctor,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.425532,,,0.183824
2012-12-08,Raphael Assuncao,Mike Easton,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.25,,,0.545455
2012-12-08,Dennis Siver,Nam Phan,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.423729,,,0.222222
2012-12-08,Marcus LeVesseur,Abel Trujillo,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,,,,0.25641
2012-12-08,Yves Edwards,Jeremy Stephens,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.253807,,,0.214592
2012-12-14,Nick Penner,Cody Donovan,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.215054,,,0.222222
2012-12-14,Brendan Loughnane,Mike Wilkinson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.235294,,,0.263852
2012-12-14,Benny Alloway,Manuel Rodriguez,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.306748,,,0.208333
2012-12-14,Mike Pierce,Seth Baczynski,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.583333,,,0.149701
2012-12-14,Chad Mendes,Yaotzin Meza,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.274725,,,0.066401
2012-12-14,Hector Lombard,Rousimar Palhares,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.14881,,,0.08
2012-12-14,Colin Fletcher,Norman Parke,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.266667,,,0.285714
2012-12-14,Robert Whittaker,Bradley Scott,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.230947,,,0.294118
2012-12-14,George Sotiropoulos,Ross Pearson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.041667,0.185185,0.280112,0.294118,0.148588,0.285714
2012-12-15,Roy Nelson,Matt Mitrione,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.444444,0.125,0.243902,0.181818,0.037383,0.235294
2012-12-15,Pat Barry,Shane del Rosario,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.25,0.062893,0.090662,0.369004,0.357143,0.090416
2012-12-15,Dustin Poirier,Jonathan Brookins,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.166667,0.20202,0.444444,0.095238,0.069444,0.222222
2012-12-15,Colton Smith,Mike Ricci,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.067024,0.068966,0.227273,0.357143,0.195695,0.26738
2012-12-15,Johnny Bedford,Marcos Vinicius,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.3125,,,0.149254
2012-12-15,TJ Waldburger,Nick Catone,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.153846,,,0.211864
2012-12-15,Vinc Pichel,Rustam Khabilov,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.153846,,,0.298507
2012-12-15,Mike Pyle,James Head,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.314465,,,0.222222
2012-12-29,Junior Dos Santos,Cain Velasquez,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.547511,0.070175,0.135501,0.282486,0.054054,0.103627
2012-12-29,Jim Miller,Joe Lauzon,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.106045,0.307692,0.333333,0.070423,0.2,0.185529
2012-12-29,Tim Boetsch,Costas Philippou,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.117647,0.137931,0.355872,0.15873,0.044944,0.319489
2012-12-29,Yushin Okami,Alan Belcher,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.086957,0.038911,0.444444,0.294118,0.086207,0.2
2012-12-29,Chris Leben,Derek Brunson,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.363636,0.137174,0.190476,0.111111,0.111732,0.284091
2012-12-29,Brad Pickett,Eddie Wineland,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.211864,,,0.322581
2012-12-29,Melvin Guillard,Jamie Varner,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.195312,,,0.148148
2012-12-29,Michael Johnson,Myles Jury,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.416667,,,0.173913
2012-12-29,Philip De Fries,Todd Duffee,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.108108,,,0.076923
2012-12-29,Leonard Garcia,Max Holloway,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.141643,,,0.52381
2012-12-29,Chris Cariaso,John Moraga,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.307692,,,0.367647
2012-12-29,Erik Perez,Byron Bloodworth,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,,,0.296736,,,0.166667
